name,iso3,region
Saint Kitts and Nevis,KNA,Caribbean
Saint Lucia,LCA,Caribbean
Saint Martin (French part),MAF,Caribbean
Saint Pierre and Miquelon,SPM,N. America
Saint Vincent and the Grenadines,VCT,Caribbean
Samoa,WSM,Oceania
San Marino,SMR,S. Europe
Sao Tome and Principe,STP,C. Africa
Lebanon,LBN,Middle East
Senegal,SEN,C. Africa
Serbia,SRB,S. Europe
Seychelles,SYC,C. Africa
Sierra Leone,SLE,C. Africa
Oman,OMN,Middle East
Sint Maarten (Dutch part),SXM,Caribbean
Slovakia,SVK,E. Europe
Slovenia,SVN,S. Europe
Solomon Islands,SLB,Oceania
Somalia,SOM,C. Africa
South Africa,ZAF,S. Africa
South Georgia and the South Sandwich Islands,SGS,S. America
South Sudan,SSD,C. Africa
Spain,ESP,S. Europe
Viet Nam,VNM,S.E. Asia
Sudan,SDN,N. Africa
Suriname,SUR,S. America
Svalbard and Jan Mayen,SJM,N. Europe
Sweden,SWE,N. Europe
Switzerland,CHE,W. Europe
"Palestine, State of",PSE,Middle East
"Taiwan, Province of China",TWN,E. Asia
Tajikistan,TJK,C. Asia
"Tanzania, United Republic of",TZA,C. Africa
Qatar,QAT,Middle East
Saudi Arabia,SAU,Middle East
Togo,TGO,C. Africa
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Trinidad and Tobago,TTO,Caribbean
Tunisia,TUN,N. Africa
Syrian Arab Republic,SYR,Middle East
Turkmenistan,TKM,C. Asia
Turks and Caicos Islands,TCA,Caribbean
Tuvalu,TUV,Oceania
Uganda,UGA,C. Africa
Ukraine,UKR,E. Europe
Turkey,TUR,Middle East
United Kingdom of Great Britain and Northern Ireland,GBR,N. Europe
United States of America,USA,N. America
United States Minor Outlying Islands,UMI,Oceania
Uruguay,URY,S. America
Uzbekistan,UZB,C. Asia
Vanuatu,VUT,Oceania
Venezuela (Bolivarian Republic of),VEN,S. America
United Arab Emirates,ARE,Middle East
Virgin Islands (British),VGB,Caribbean
Virgin Islands (U.S.),VIR,Caribbean
Wallis and Futuna,WLF,Oceania
Western Sahara,ESH,N. Africa
Yemen,YEM,Middle East
Zambia,ZMB,C. Africa
Zimbabwe,ZWE,C. Africa
